title,text,label
"Chính phủ công bố chính sách học phí mới","Bộ Giáo dục và Đào tạo chính thức công bố chính sách hỗ trợ học phí cho sinh viên từ năm học mới, áp dụng từ tháng 9 năm nay theo nghị quyết của Quốc hội",reliable
"Giá xăng giảm từ ngày mai","Bộ Công Thương thông báo giá xăng sẽ được điều chỉnh giảm trong kỳ điều hành tới theo quyết định của liên bộ Công Thương và Tài chính",reliable
"Cảnh báo mưa lớn diện rộng tại miền Trung","Trung tâm Dự báo Khí tượng Thủy văn Quốc gia cảnh báo mưa lớn kéo dài ở miền Trung trong 3 ngày tới, khuyến cáo người dân cần cẩn thận",reliable
"Ngân hàng Nhà nước điều chỉnh lãi suất điều hành","Ngân hàng Nhà nước vừa công bố mức điều chỉnh lãi suất điều hành theo thông báo chính thức nhằm hỗ trợ nền kinh tế phục hồi sau đại dịch",reliable
"Thành phố Hà Nội triển khai tuyến xe buýt điện mới","Sở Giao thông Vận tải Hà Nội thông báo đưa vào hoạt động tuyến xe buýt điện mới từ đầu tháng tới phục vụ người dân đi lại thuận tiện",reliable
"Bộ Y tế khuyến cáo phòng chống dịch sốt xuất huyết","Thông báo chính thức từ Bộ Y tế nhấn mạnh việc diệt lăng quăng và vệ sinh môi trường để phòng chống sốt xuất huyết mùa mưa",reliable
"Giá vàng trong nước tăng nhẹ theo thị trường quốc tế","Theo các doanh nghiệp kinh doanh vàng trong nước giá vàng sáng nay tăng nhẹ so với hôm qua theo diễn biến thị trường quốc tế",reliable
"Trường đại học công bố lịch tuyển sinh 2024","Các trường đại học phát hành thông báo tuyển sinh chính thức trên website và cổng thông tin điện tử của bộ giáo dục đào tạo",reliable
"Việt Nam đạt thặng dư thương mại 8 tỷ USD","Tổng cục Thống kê công bố Việt Nam đạt thặng dư thương mại khoảng 8 tỷ USD trong 6 tháng đầu năm theo báo cáo chính thức",reliable
"Bộ Nông nghiệp hỗ trợ nông dân vùng lũ","Bộ Nông nghiệp và Phát triển Nông thôn triển khai gói hỗ trợ cho nông dân bị ảnh hưởng bởi lũ lụt tại các tỉnh miền Trung và Tây Nguyên",reliable
